cpu_percent,ram_percent,disk_read_Bps,disk_write_Bps,net_in_Bps,net_out_Bps
5.0,34.3,0,548864,392,268
5.4,34.1,0,688128,882,306
9.3,34.2,0,548864,196,134
6.0,34.1,0,774144,156,114
3.9,34.1,0,704512,441,346
5.9,34.2,0,618496,196,134
7.4,34.3,0,995328,13480,1617
7.2,34.3,0,618496,313784,9064
3.5,34.3,0,618496,324,443
7.2,34.2,0,548864,152,480
6.2,34.3,0,618496,262,220
4.6,34.3,0,548864,0,0
3.4,34.3,0,548864,237,421
5.4,34.2,0,1175552,453,318
3.8,34.2,0,548864,0,0
5.8,34.1,0,634880,282,295
4.5,34.1,0,548864,0,0
5.0,34.1,0,679936,392,268
4.4,34.1,0,548864,374,913
5.5,34.1,0,1007616,0,0
5.8,34.1,0,1007616,650,751
6.0,34.1,0,1007616,196,134
5.4,34.1,69632,1007616,26208,1696
6.5,34.1,0,1007616,120898,2611
4.5,34.1,0,18333696,286,330
3.4,34.0,0,757760,196,134
3.1,34.0,0,1093632,0,0
11.4,34.1,0,1077248,296,9774
6.3,34.2,0,757760,18170,15013
4.4,34.1,0,692224,7068,492
4.5,34.0,0,765952,196,134
29.7,35.1,0,712704,135174,248250
16.7,35.0,0,622592,181550,37530
11.4,35.0,0,548864,24587,34426
5.4,35.0,0,20799488,1551,256
14.9,35.1,0,909312,37216,38101
7.3,35.2,0,765952,6693,6118
9.2,35.2,0,946176,18557,18646
9.1,35.2,0,1077248,3336,6069
10.2,35.1,0,1077248,854,826
10.3,35.0,0,618496,458,354
8.7,35.0,0,1429504,9970,20369
6.7,34.9,0,688128,7161,740
8.2,34.9,167936,618496,8166,1272
9.0,35.0,0,2265088,196,134
9.7,35.1,0,618496,196,134
6.1,35.0,0,688128,221,399
5.8,34.7,0,618496,0,86
3.9,34.6,0,626688,282,295
4.0,34.6,0,618496,2669,555
5.0,34.6,0,577536,196,134
5.9,34.4,0,618496,0,0
4.4,34.4,0,618496,152,455
6.9,34.5,0,1454080,588,625
5.3,34.4,0,1110016,0,0
8.2,34.6,0,1081344,807,478
5.2,34.5,0,1007616,0,0
7.1,34.4,0,2674688,434,330
8.2,34.4,0,1110016,156,114
6.8,34.5,0,974848,348,486
6.8,34.5,0,2117632,392,268
6.2,34.4,0,1540096,196,134
6.0,34.5,0,974848,6146,5432
6.2,34.5,0,974848,918,749
8.5,34.5,0,974848,196,134
8.3,34.4,0,33165312,282,232
7.8,34.4,0,761856,0,0
6.4,34.4,0,770048,86,120
6.9,34.4,0,909312,282,295
8.8,34.4,0,757760,3404,6289
8.1,34.4,0,700416,282,295
4.5,34.4,0,1245184,0,0
4.9,34.4,0,757760,327,172
5.0,34.4,0,618496,196,134
10.9,34.5,0,757760,5479,22859
6.3,34.5,0,1216512,13570,1866
25.4,35.1,770048,1241088,1283322,26032
18.6,35.3,3588096,802816,526673,15850
5.4,35.4,65536,561152,30390,1013
5.4,35.3,0,618496,42,438
10.2,35.2,0,618496,2453,786
5.9,35.1,0,929792,523,893
5.4,35.1,0,704512,3344,4647
10.2,35.0,0,548864,70762,2049
9.2,35.0,0,1331200,44086,1798
3.6,34.8,0,1007616,552,220
4.2,34.7,0,1716224,628,208
2.3,34.6,0,1847296,3597,3651
5.8,34.6,0,1007616,5677,4204
7.4,34.8,0,1204224,1559,2703
3.1,34.7,0,3104768,3629,1724
5.5,34.7,0,974848,1074,751
8.1,34.7,0,1146880,66,74
7.1,34.7,0,1007616,3139,2062
2.0,34.7,0,974848,307,282
3.8,34.5,0,974848,196,134
3.8,34.5,0,1622016,441,549
3.0,34.6,32768,43913216,392,268
2.0,34.6,0,860160,156,114
1.8,34.7,0,757760,66,172
5.8,34.7,0,757760,12587,18262
1.6,34.7,0,618496,282,232
1.8,34.7,0,761856,196,134
3.4,34.8,0,757760,222,337
3.5,34.8,0,860160,196,134
2.0,34.8,0,688128,523,502
4.5,34.6,0,1941504,0,0
2.1,34.5,0,790528,0,0
3.0,34.5,0,688128,457,368
1.3,34.5,0,1445888,0,0
1.4,34.5,0,548864,262,220
1.5,34.5,0,2826240,0,0
3.1,34.5,0,819200,0,0
1.4,34.6,0,618496,196,134
1.8,34.6,0,659456,0,0
2.1,34.6,0,618496,196,134
4.7,34.6,0,626688,0,0
2.8,34.5,0,626688,832,887
4.1,34.5,0,548864,156,114
2.0,34.5,0,757760,238,215
4.6,34.5,0,548864,478,429
1.9,34.4,0,1601536,196,134
5.8,34.5,0,1212416,591,667
4.0,34.5,0,1007616,156,114
3.4,34.4,0,1007616,570,694
2.4,34.4,0,1007616,196,134
2.8,34.4,0,1134592,155,517
1.4,34.5,0,1748992,42,62
3.9,34.5,32768,40812544,282,240
2.8,34.5,0,700416,0,0
3.3,34.5,0,757760,196,134
1.8,34.5,0,618496,155,405
3.6,34.5,0,618496,0,0
1.9,34.5,0,688128,196,134
2.5,34.5,0,1224704,86,161
2.0,34.5,0,757760,196,134
3.8,34.5,0,1155072,0,0
2.5,34.6,0,618496,975,1118
2.2,34.5,0,548864,242,212
1.8,34.5,0,548864,0,172
6.6,34.5,0,1417216,782,751
1.8,34.5,0,548864,196,134
1.8,34.5,0,1110016,523,941
3.6,34.4,0,1011712,156,114
3.3,34.4,0,1007616,282,295
3.3,34.4,0,1212416,196,134
1.9,34.3,0,1007616,0,0
2.0,34.2,0,1007616,0,0
4.0,34.3,0,1007616,570,673
6.7,34.3,0,1007616,172,129
