cpu_percent,ram_percent,disk_read_Bps,disk_write_Bps,net_in_Bps,net_out_Bps
11.2,30.1,0,684032,9728,2040
21.1,30.0,0,970752,33013,28982
20.2,30.3,32768,774144,71506,10457
21.3,30.4,0,614400,8929512,121086
12.1,30.3,0,692224,157,115
16.4,30.2,0,688128,24452,16656
30.0,30.5,204800,696320,51662,22803
14.7,30.5,0,630784,5366149,65801
14.3,30.4,0,548864,0,0
15.0,30.5,0,614400,0,0
14.8,30.5,0,552960,0,0
14.6,30.5,0,1245184,4461617,59632
23.5,30.4,0,806912,70020,4748
15.2,30.4,0,1114112,282,134
15.7,30.4,0,1159168,368,295
12.7,30.4,0,1003520,2894246,41798
14.5,30.5,0,1011712,282,240
14.6,30.4,0,1007616,86,161
13.3,30.5,0,1634304,2119235,30150
21.4,30.4,0,1019904,1895592,24808
14.2,30.4,0,1007616,156,114
13.7,30.4,0,1003520,306,268
14.6,30.4,0,1642496,438,248
14.8,30.4,0,1007616,0,283
14.8,30.4,0,1003520,155478,5434
17.3,30.5,0,1011712,5188210,67666
14.7,30.5,65536,27004928,89454,4993
14.6,30.5,0,684032,86,0
14.7,30.5,0,761856,196,134
10.8,30.4,0,692224,3880365,54941
14.6,30.3,0,684032,317788,4413
21.8,30.3,0,1073152,0,0
15.2,30.4,0,757760,282,240
14.1,30.4,0,864256,196,134
15.1,30.4,0,692224,348,633
15.0,30.4,0,688128,558,1043
12.4,30.5,0,684032,2989676,44773
13.8,30.5,0,622592,0,0
15.6,30.5,0,663552,406,1159
15.0,30.5,0,753664,335,334
29.9,30.2,0,692224,222,529
14.7,30.2,0,618496,547,354
14.9,30.2,0,614400,352,248
15.1,30.2,0,552960,0,0
15.4,30.2,0,548864,0,0
15.6,30.2,0,933888,86,161
15.4,30.2,0,552960,196,134
14.8,30.2,0,548864,196,240
15.4,30.3,0,634880,86,0
14.6,30.3,0,552960,0,110
14.6,30.3,0,1007616,262,345
15.1,30.3,0,1007616,0,0
20.9,30.2,0,1011712,282,295
14.8,30.2,0,1609728,196,134
14.3,30.2,0,1003520,682,636
15.4,30.2,0,1015808,16069,1298
18.1,30.2,0,1007616,196,134
14.3,30.2,0,1003520,0,0
14.1,30.2,180224,23212032,0,0
14.3,30.2,0,757760,520,758
13.7,30.2,0,753664,476,405
15.0,30.2,0,1003520,392,268
11.9,30.2,0,688128,438,354
14.9,30.2,0,774144,0,0
14.2,30.2,0,1069056,0,0
14.5,30.2,0,618496,66,86
13.8,30.1,0,544768,0,0
21.0,30.2,0,552960,392,268
12.4,30.2,0,729088,0,0
14.4,30.2,0,614400,0,190
12.4,30.3,0,552960,7094,13355
12.7,30.3,0,548864,0,0
12.4,30.3,0,614400,196,232
13.3,30.3,0,622592,437,491
11.6,30.3,0,552960,282,295
13.6,30.3,0,1679360,86,111
12.3,30.4,0,552960,282,295
14.7,30.4,0,548864,0,239
14.9,30.4,0,544768,2111,2751
12.0,30.4,0,708608,287,249
11.9,30.4,0,1110016,500,429
14.2,30.4,0,1011712,372,268
14.1,30.4,0,1011712,438,248
14.1,30.3,0,1007616,0,0
20.1,30.3,0,1462272,90,196
11.8,30.3,0,1011712,0,0
7.2,30.3,0,1007616,110,134
8.2,30.3,0,1003520,86,0
8.2,30.2,0,1011712,196,134
7.7,30.2,0,1028096,0,0
10.3,30.2,0,20807680,0,0
24.7,30.2,0,1069056,58824,42094
21.7,30.3,0,2416640,71788,18483
26.8,30.4,90112,1052672,5215282,65343
8.3,30.4,0,692224,282,295
8.2,30.3,0,929792,152,252
14.7,30.3,0,753664,324,294
13.3,30.3,0,1064960,3305592,49623
22.0,30.3,0,757760,390,0
14.4,30.3,0,638976,262,412
14.1,30.2,0,622592,222,114
15.7,30.3,0,1556480,744,533
15.7,30.2,0,1003520,634,354
12.8,30.3,0,1011712,3049079,42342
16.2,30.3,0,1114112,426860,5659
14.4,30.3,0,1318912,157,115
14.1,30.3,0,1011712,437,620
14.4,30.3,0,1007616,1249628,20261
20.8,30.3,0,1003520,1869597,27533
13.6,30.2,0,1024000,0,0
14.6,30.3,0,1007616,270,342
14.1,30.2,0,1003520,344,0
13.4,30.1,0,1015808,110,134
13.4,30.2,0,1110016,1528639,23108
13.8,30.2,0,1003520,348,295
13.3,30.2,0,1626112,27433,783
15.1,30.1,0,974848,86,111
14.4,30.1,0,970752,397,1931
14.4,30.1,0,978944,86,288
14.9,30.1,0,974848,8171,13005
14.2,30.0,0,970752,156,114
13.6,30.0,65536,31236096,531,382
13.9,30.0,0,757760,546,5367
14.1,30.0,0,753664,6567,618
14.8,30.0,0,761856,0,0
14.1,30.0,0,1380352,0,0
14.3,30.0,0,684032,196,134
13.8,30.0,0,1060864,238,196
14.8,30.0,0,757760,392,1144
14.2,30.0,0,614400,0,0
14.6,30.1,0,573440,157,115
22.1,30.1,0,618496,0,5716
13.8,30.1,0,544768,1635,5613
13.6,30.1,0,622592,368,295
13.9,30.1,0,618496,282,381
13.6,30.1,0,1146880,66,0
13.3,30.1,0,557056,86,111
13.5,30.1,0,548864,241,566
15.0,30.2,0,544768,0,0
15.3,30.2,0,552960,196,134
13.4,30.1,0,622592,10699,497
14.8,30.1,0,806912,392,366
14.2,30.1,0,1011712,577,362
14.3,30.1,0,1011712,0,0
13.4,30.1,0,1003520,0,0
14.9,30.1,0,1470464,0,0
13.4,30.1,0,1007616,110,134
14.0,30.1,0,1003520,86,0
13.5,30.2,0,1011712,196,134
13.9,30.1,0,1007616,0,0
13.9,30.0,0,1007616,66,86
13.8,30.0,147456,27144192,0,0
15.3,30.1,0,757760,433,220
13.4,30.1,0,753664,196,134
28.3,30.3,0,692224,58902,33977
20.8,30.4,0,761856,8619780,108886
22.8,30.4,0,544768,1394,375
13.5,30.4,0,692224,86,1059
12.0,30.3,0,2125824,310,119
12.1,30.3,0,753664,238,282
11.5,30.3,0,692224,17818,4354
12.7,30.3,0,573440,392,268
12.2,30.3,0,913408,632,363
12.1,30.3,0,552960,0,0
10.9,30.3,0,1298432,172,204
12.2,30.3,0,864256,0,0
12.5,30.3,0,1081344,282,295
11.1,30.3,0,1007616,282,1224
11.6,30.3,0,1003520,395,119
12.0,30.3,0,1011712,0,0
11.4,30.3,0,1007616,66,86
12.2,30.3,0,1019904,230,296
11.5,30.3,0,1179648,8799,19155
12.9,30.3,0,1007616,1818,942
11.1,30.2,0,1007616,525,686
11.3,30.2,0,1011712,78,0
20.5,30.2,0,1617920,0,0
12.5,30.3,0,1003520,86,1060
5.9,30.3,0,1011712,395,119
9.8,30.3,0,1007616,736,5068
8.1,30.3,0,1105920,8288,7296
11.9,29.8,65536,21897216,458,2116
27.8,30.4,36864,761856,47676,14213
20.8,30.5,28672,757760,1174542,29738
22.1,30.5,0,552960,0,0
12.4,30.5,0,757760,66,86
13.5,30.4,0,933888,282,232
11.9,30.4,0,692224,1458692,23150
12.9,30.3,0,688128,0,0
13.6,30.4,0,614400,90,196
11.0,30.4,0,692224,2220945,31506
11.6,30.4,0,700416,738470,9596
13.2,30.4,0,1499136,110,134
13.3,30.4,0,622592,478,374
14.3,30.4,0,618496,368,456
12.8,30.4,0,614400,0,0
14.6,30.5,0,602112,0,0
13.6,30.5,0,548864,396,1167
13.4,30.5,0,1060864,172,272
12.9,30.5,0,1011712,196,134
12.5,30.5,0,1007616,156,114
17.0,30.5,0,1003520,392,268
14.5,30.5,0,1048576,16875,11329
12.8,30.5,0,1007616,366,115
12.9,30.5,0,1003520,0,367
12.0,30.5,0,1011712,10835,556
13.9,30.5,0,1015808,267,249
12.2,30.5,0,1703936,683,1672
12.8,30.5,0,1011712,86,98
13.5,30.5,0,1007616,86,106
11.8,30.5,0,1003520,0,0
12.4,30.4,81920,22880256,0,0
13.1,30.5,0,901120,196,134
11.6,30.5,0,753664,392,268
22.8,30.5,0,761856,282,295
13.6,30.5,0,757760,0,0
